,tweet,sentiment
202,McCain -1 for reuse of Miss Congeniality reference #tweetdebate,negative
203,@current #current If McCain would definitely make a very ugly Ms. Congeniality. Its a lousy cliche to keep throwing out though.,negative
204,OHHHH First uppercut of the night!  #tweetdebate #current,negative
205,45 Nuclear Plants?  OMG WTF?!!?!  #tweetdebate,negative
206,-2 McCain for saying Miss Congeniality twice so far. #tweetdebate,negative
207,#tweetdebate McPain: I'm proud to say I've got a good partner who is a maverick. [that's ONE way to describe someone who's clueless],negative
208,McCain -2 for saying 'were winning in iraq' i'm pretty sure that's not true #tweetdebate,negative
209,"""Not being mr congeniality is a BAD thing.  If your senate won't work with you, other countries won't and we need friends #tweetdebate""",negative
210,McCain -2 for not answering the question #tweetdebate,negative
211,Why does McCain leep talking about Miss Congeniality when that's the title Sarah Palin won? #tweetdebate,negative
212,"""Obama has been hammering the afgan point too hard, we get it!  #current, #debate08, #tweetdebate""",negative
213,$10 billion/mo in Iraq and McCain wants to talk about earmarks? #current #tweetdebate #debate08,negative
214,i hate it when obama tries to be all hawky. #current #tweetdebate,negative
215,#tweetdebate Sen O: Al Quaeda stronger now than since '01. Lesson: we have to use military WISELY and we didn't do that in Iraq.,negative
216,"""macain -1 on where he stands on the $700B bailout, he didn't tell us HOW #tweetdebate""",negative
217,"""@current It's either some """"epic battle against the terrorists"""" or """"hey, look, it's broken ya'll"""".  #current""",negative
218,-1 Obama initially off topic answering question on lessons of war  #tweetdebate,negative
219,McCain -3 personal attack (what? without evidence huh? what hearing #tweetdebate,negative
220,Wow whoever created McCain's talking points was really reaching... #tweetdebate #current #debate08,negative
221,-2 McCain for saying we are winning in Iraq. I don't see anything coming out of the Iraq war. #tweetdebate,negative
222,SURGE....tired of that term.  We're still there; we're still losing people (maybe more due to the surge?) #tweetdebate #debate08 #current,negative
223,Obama gives strong kudos to Biden ... is McCain going to applaud his selection of the Palin creature? #current #tweetdebate #debate08,negative
224,-1 for obama trying to ignore the fact the fact that mccain has been a lone voice calling for a change in iraq strategy #tweetdebate,negative
225,Mccain -1 for not looking at Obama when Obama is looking at him #tweetdebate,negative
226,@current  It reminds me of some teenagers that totally fucked up their parents' house and now they don't want to admit it.  #current,negative
227,McCain -1 for a false statement about Obama commitee responsibilities #tweetdebate,negative
228,McCain -3 for being a pompous ass. #tweetdebate,negative
229,"""oooh, """"I'm afraid Obama doesn't understand the difference between a tactic and a strategy."""" - McCain #current #tweetdebate""",negative
230,#tweetdebate #obamashot you were wrong you were wrong you were wrong you were wrong,negative
231,#tweetdebate McPain: Sen O doesn't understand diff between tactic and strategy [they don't teach you those things at Harvard law?!],negative
232,"""-3 Mccain for a backhanded comment (""""Obama doesn't understand the tactic and the strategy"""") #tweetdebate""",negative
233,"""FACT Soldiers are not reenlisting now buddy! And they are not voting for you! #current, #debate08, #tweetdebate""",negative
234,McCain -2 for triggering patriotism all the time #tweetdebate,negative
235,"""McCain: """"selecting Palin to win the election is a tactic, dying and making her President is a strategy."""" # Current #debate08 #tweetdebate""",negative
236,Yes. Let's cut spending for everything EXCEPT our defensive contracts. Are you fucking kidding me? #tweetdebate,negative
237,"""@current  Oh, there came the Osama card.  That would have been the perfect time for McCain to """"accidentally"""" mess up his name.  #current""",negative
238,Facebook Blunt Jackson McCain -3 for total falsehoods and personal attacks #tweetdebate. http://tinyurl.com/43v3kc,negative
239,"""#tweetdebate McPain STILL quibbling over definition of """"strategy"""" and """"tactic.""""""",negative
240,-1 mccain wtf is he talking about in Afghanistan? Ramble on old man #tweetdebate,negative
241,"""I'm afraid Senator McCain doesn't know the difference between """"succeed"""" and """"exceeed."""" #tweetdebate""",negative
242,"""Obama should only interrupt McCain when McCain lies... oh, never mind, that would be more interruptions... # Current #debate08 #tweetdebate""",negative
243,"""@current  Oh, that brings up a good question.  How the hell can we afford wars that don't matter when we're broke?  #current""",negative
244,"""Why is that Obama calls McCain John all the time, but McCain never refers to Obama by his first name? #tweetdebate""",negative
245,"""#current #debate08 #tweetdebate Wow, can't anyone stop Mc's bald lies?""",negative
246,#tweetdebate #obamashot Obama has NOT said change yet. Should i return the tequila bottle?,negative
247,@ceanders And he keeps smiling in a really passive pedophile way,negative
248,"""@current  Do you realize how expensive military weaponry is?  For Christ's sake, can't we just fight our wars with propaganda?  #current""",negative
249,Agreed: Iran should've been the #1 focus. #tweetdebate,negative
250,#tweetdebate Sen O brings up subject of Pakistan. McPain: Won't repeat mistake I regret enormously...washed our hands of region (after USSR),negative
251,McCain soundbite: You don't say that out loud! #tweetdebate,negative
252,"""#tweetdebate It's the economy, stupid.""",negative
253,McCain but those freedom fighters were alquaeda -2 #tweetdebate,negative
254,I must disagree with Obama - Iran is bigger threat than Al Qaeda #tweetdebate,negative
255,McCain -2 for mischaracterizing Obama on Pakistan #tweetdebate,negative
256,Maybe McCain will let Paliin handle Pakistan ... she met some world leaders the other day ... she's ready!! #current #tweetdebate #debate08,negative
257,@current  Why do we care about Pakistan?  Because they have nuclear weapons?  Do they have stability?  #current,negative
258,"""""""You dont say things out loud!?"""" Core problem as Republican's #tweetdebate""",negative
259,Yep I agree I think that MCCAIN is twisting facts and making lies up about shit. #tweetdebate,negative
260,McCain -1 for man crush on General Patraeus #tweetdebate,negative
261,McCain is treating him like the man-child he is.  Obama needs to stop being so congenial if he wants to win. #current #tweetdebate #debate08,negative
262,McCain sounds condescending to Obama; Obama sounds angry at times when refuting claims by McCain #tweetdebate,negative
263,"""Obama finally called him John, not Tom nor Jim... #tweetdebate""",negative
264,Obama -3 for repeating his Pakistan threads again! #tweetdebate,negative
265,#tweetdebate Isn't this supposed to be a debate on domestic issues??,negative
266,@current TAKE OUT BIN LADIN YOU LIL BASTARDS!!! #current,negative
267,McCain -1 for smug smiles. #tweetdebate,negative
268,Mccain -1 for saying that Obama wanted to attack Pakistan! #tweetdebate,negative
269,McCain -1 for smug smiles. #tweetdebate,negative
270,Obama -1 ok.. you got the leader of N.Korea's name wrong re: pronunciation - need to practice #tweetdebate,negative
271,#tweetdebate  Hating that audience reaction graph at the bottom of CNN.,negative
272,#tweetdebate -2 for Obama for saying McCain is right too much,negative
273,"""''Coming from you, who've sung songs about bombing Iran, I don't know how credible that is.''  SCORE! #current #debate08 #tweetdebate""",negative
274,"""Ooh, bomb iran remark hurt! # Current #debate08 #tweetdebate""",negative
275,"""No kidding!  Obama pronounces """"Pakistan"""" and """"Afghanistan"""" like a foreigner...Harvard education tendancies!",negative
276,Obama -1 again Pakistan threat #tweetdebate,negative
277,"""retweet: Obama +3 coming from you who sings songs about bombing Iran, I dno't think that's NOT very credible #tweetdebate""",negative
278,"""Retweet @AndrewSmith: If """"Petreaus"""" was McCain's drinking word, I'd be on the floor at this point. #current  #tweetdebate""",negative
279,"""Oh, here we go with """"The Record."""" #current #debate08 #tweetdebate""",negative
280,@current  You're welcome to be free!...as long as you're under our control...  So how's your mom?  #current,negative
281,wonder how the Pakistani's feel about being called a failed state by mccain #tweetdebate,negative
282,"""mccain -1 for saying Obama doesn't understand this or that, he is being too condescending #tweetdebate""",negative
283,@evolver I believe the world would implode if they made eye contact with each other. Just saying.  #current #tweetdebate,negative
284,why do I all of sudden don't care about Mccain's record? #current #tweetdebate,negative
285,"""#tweetdebate Obama -3 for Pakistan comments; McCain -3 for smugness and downtalking to Obama. What happened to """"I respectfully disagree?""""""",negative
286,Reagan is why this country is in debt in the first place #tweetdebate,negative
287,"""McCain -2 for naming dead soldier, cheap shot #tweetdebate""",negative
288,McCai -3 for telling shitty bracelet story. Don't waste my time John! #tweetdebate,negative
289,Obama needs to explain anti-democratic comment (i.e. letting Musharraf take over after coup - average American not understand) #tweetdebate,negative
290,Ok why is it when Mccain makes a point about something he backs it with a war story? #tweetdebate,negative
291,#tweetdebate McCain -3 for pulling out all the stops on war vets when we know he supported the cutting of the VET benefits,negative
292,mccain -1 pulling the emotional heart strings about making it all worth it  #current #tweetdebate,negative
293,@current #current Oh here is where McCain tries to look human by bringing human interest into the debate. Looks trite and cliche,negative
294,McCain has stopped debating and resumed his campaigning. #tweetdebate,negative
295,*SNORE* #mccain -2 #tweetdebate,negative
296,"""@jaymesiemer Yeah, my 86 year old mother is upset too... and she doesn't really keep up with these things too much any more!""",negative
297,"""The easiest way to put """"our young men and women into harm's way"""" is to vote Republican. #tweetdebate""",negative
298,McCain pissing me off about Iraq war bracelet! I wear my Uncle's from VietNam (hes on the last known alive list) what about HIM #tweetdebate,negative
299,-1 McCain for telling heartstring pulling stories that don't make a point #tweetdebate,negative
300,Why don't we just send Iron Man to Afghanistan? #current #tweetdebate,negative
301,Obama -2 for copying cheap shot #tweetdebate,negative
302,Uhh dishonor. Are we Klingon now #tweetdebate,negative
303,Who wants defeat? #tweetdebate,negative
304,McCain talks like my grandpa... just telling stories #tweetdebate,negative
305,I've got a bracelet too. UGHHH ME TOO! ME TOO!!!  Who is actually WEARING it?  #tweetdebate,negative
306,Obama -3 for more bracelet shit #tweetdebate,negative
307,#tweetdebate A bracelet war???,negative
308,"""@current  Define defeat.  Oh, you mean like your economy collapsing from within like...because of a terrorist organization?  #current""",negative
309,no us soldier ever dies in vain huh... #tweetdebate,negative
310,#debate08 #current #tweetdebate Obama needs to stop stuttering,negative
311,@BrianMcAlister You don't say that out loud,negative
312,"""It's a DEBATE, not story time! #tweetdebate #current #momocrats""",negative
313,"""""""Yeah, well I have a necklace and 2 anklets!!"""" #current #debate08 #tweetdebate""",negative
314,Both of them -3 for sounding like every other candidate we've ever elected #tweetdebate,negative
315,"""#tweetdebate Obama -3 twice once for the """"me too"""" comment on bracelet & for saying McCain is """"right"""" instead of """"I agree""""""",negative
316,-1 obama ouch on bracelet remark #tweetdebate,negative
317,"""@barbaranixon I daresay at the current person in the highest elected office would at least look at him! And he doesn't do much, really.""",negative
318,#tweetdebate can you believe they are talking about bracelets?,negative
319,"""christ, if I could vote I'm not sure I would want to vote for either O or M based on this #current #tweetdebate #debate08""",negative
320,progress in debates. we've moved on from lapel pins to bracelets. #tweetdebate,negative
321,i am not persuaded by this idea about relocating the war. #current #tweetdebate,negative
322,"""It must be really weird debating someone who will not look at you. Look at him, John!  #tweetdebate""",negative
323,"""It must be really weird debating someone who will not look at you. Look at him, John!  #tweetdebate""",negative
324,@janoss - why does McCain not look at Obama? Can you answer that one?,negative
325,#tweetdebate I can't stand when people debate military strategy by bringing up personal soldier stories. Like McCain's doing.,negative
326,@current how long is the delay?,negative
327,"""-2 McCain +2 obama """"mccain said you can """"muddle thru"""" afganistan. #tweetdebate McCain sounds condescending and petulant""",negative
328,"""@current  Did Al Queda take down the economy?  Well, it is a coincidence that we are pissing away money indirectly as a result. #current""",negative
329,"""#tweetdebate: we drink everytime they say: Iraq, Bailout, Bush, Iran, Israel, allies, Global Warming, Toxic, Obama, McCain, """"my friends""""""",negative
330,"""-2 pts for McCain's personal attack """"BTW, when I'm subcommittee chairman, we take up the issues in our subcommittee"""" #tweetdebate""",negative
331,McCain -1 John we know you were in Iraq and Afghanistan and probably had good dinner there #tweetdebate,negative
332,is this a debate or a campaign stop?       #tweetdebate,negative
333,-1 Obama for sucking up to Jim #tweetdebate,negative
334,#tweetdebate McCain seems like he's really holding in his anger in response to Obama. Quite the contrast.,negative
335,@snooks56 The bracelet wars are reminiscent of Danny Glover and Mel Gibson comparing scars in Lethal Weapon  #current #tweetdebate,negative
336,#tweetdebate Existential??? John McCamus??,negative
337,McCain sound bite: League of Democracies. Will Supes be on our side? Are they going to fight the Axis of Evil? #tweetdebate,negative
338,McCain -3 for holocaust reference. What's happening in Dafur? #tweetdebate,negative
339,Isreal will suffer overwhelming ennui #current #tweetdebate,negative
340,I think Republicans learn a different math... #tweetdebate,negative
341,-3 McCain-fearmongering: who said anything about a 2nd holocaust? #tweetdebate,negative
342,blinky's back! (aka McCain) #tweetdebate #current,negative
343,#tweetdebate MCCain Iranians are putting lethal IEDs in Iraq.,negative
344,McCain's gaffe: Iran has a lousy government. That's some good int'l diplomacy! #tweetdebate,negative
345,so a holocaust caused by Iran is bad but what's happening in Darfur can be ignored? #tweetdebate,negative
346,McCain mentions existentialism and the French in the same statement.  Irony.  #tweetdebate,negative
